sn2004gq-20041212-z-bl.flm      -9.0000000      -18735.141       825.88745
sn2004gq-20041213-z-bl.flm      -8.1000000      -19056.656       1404.0254
sn2004gq-20041214-z-bl.flm      -7.1000000      -16856.441       750.95496
sn2004gq-20041215-z-bl.flm      -6.1000000      -16570.947       608.88623
sn2004gq-20041216-z-bl.flm      -5.1000000      -15479.004       680.44659
sn2004gq-20041219-z-bl.flm      -2.1000000      -14119.101       617.27551
sn2004gq-20041220-z-bl.flm      -1.1000000      -13241.724       476.99344
sn2004gq-20041221-z-bl.flm     -0.10000000      -12835.598       511.27737
sn2004gq-20050106-z-bl.flm       15.800000      -8571.4541       1046.9697
sn2004gq-20050107-z-bl.flm       16.800000      -8111.7603       845.72986
sn2004gq-20050108-z-bl.flm       17.800000      -8739.8252       948.77167
sn2004gq-20050111-ldss2-z-bl.flm       20.800000      -8291.2480       867.41101
sn2004gq-20050111-z-bl.flm       20.800000      -8256.3389       1414.8383
sn2004gq-20050115-z-bl.flm       24.700000      -7742.0376       1818.1594
sn2004gq-20050201-z-bl.flm       41.600000      -7246.2964       912.81982
sn2004gq-20050214-z-bl.flm       54.600000      -7923.1724       976.49457
sn2004gq-20050301-z-bl.flm       69.500000      -7139.8423       1008.9225
sn2004gq-20050304-z-bl.flm       72.500000      -7426.2134       548.96326
sn2004gq-20050310-z-bl.flm       78.400000      -7195.3770       787.71210
sn2004gq-20050316-z-bl.flm       84.400000      -7252.7646       982.24780
