sn1990B_Ic-norm_4_V_z.dat       4.0000000      -9191.0361       580.29041
sn1990B_Ic-norm_5_V_z.dat       5.0000000      -7969.1875       1264.4453
sn1990B_Ic-norm_5.9_V_z.dat       5.9000000      -8446.3262       1804.7723
sn1990B_Ic-norm_6_V_z.dat       6.0000000      -8644.0332       845.08990
sn1990B_Ic-norm_7_V_z.dat       7.0000000      -7785.8638       1608.3829
sn1990B_Ic-norm_8.9_V_z.dat       8.9000000      -8674.7822       606.69403
sn1990B_Ic-norm_9.9_V_z.dat       9.9000000      -7400.3589       1738.5886
sn1990B_Ic-norm_15.4_V_z.dat       15.400000      -9597.9971       1167.9293
sn1990B_Ic-norm_22.3_V_z.dat       22.300000      -8565.4062       865.17249
sn1990B_Ic-norm_27.6_V_z.dat       27.600000      -7680.9961       417.38489
sn1990B_Ic-norm_38.7_V_z.dat       38.700000      -7443.2690       563.64270
sn1990B_Ic-norm_47.4_V_z.dat       47.400000      -6827.3452       589.48407
sn1990B_Ic-norm_58.4_V_z.dat       58.400000      -7317.1812       493.86655
sn1990B_Ic-norm_64.5_V_z.dat       64.500000      -7216.8784       563.49066
sn1990B_Ic-norm_71.5_V_z.dat       71.500000      -7224.0723       487.59219
sn1990B_Ic-norm_88_V_z.dat       88.000000      -7216.8784       509.52338
sn1990B_Ic-norm_100.2_V_z.dat       100.20000      -6863.0659       896.96777
sn1990B_Ic-norm_115.9_V_z.dat       115.90000      -6333.3765       698.04578
