sn1998bw-19980508-z-bl.flm      -4.2000000      -30477.623       1718.7760
sn1998bw-19980509-z.flm      -3.2000000      -30994.410       1714.6486
sn1998bw-19980511-z.flm      -1.2000000      -29511.770       1669.4131
sn1998bw-19980513-z.flm      0.80000000      -27587.404       1478.7750
sn1998bw-19980514-z.flm       1.8000000      -28284.926       1234.0471
sn1998bw-19980516-z.flm       3.8000000      -28083.756       1109.8734
sn1998bw-19980519-z.flm       6.8000000      -27026.410       1095.6248
sn1998bw-19980521-z.flm       8.8000000      -26959.418       1224.7910
sn1998bw-19980522-z-bl.flm       9.8000000      -26850.844       1251.3247
sn1998bw-19980523-z-bl.flm       10.800000      -27774.479       1457.4572
sn1998bw-19980529-z-bl.flm       16.800000      -27263.305       1104.9250
sn1998bw-19980601-z.flm       19.800000      -27962.688       918.74188
sn1998bw-19980608-z.flm       26.800000      -27904.551       1375.6129
sn1998bw-19980624-z-bl.flm       42.800000      -25295.764       1247.2239
sn1998bw-19980701-z-bl.flm       49.800000      -24689.420       1502.6890
sn1998bw-19980713-z-bl.flm       61.800000      -24607.590       1466.2656

