sn1994I-19940403-mmt-z-bl.flm      -5.9400000      -17842.408       457.82996
sn1994I-19940403-z-bl.flm      -5.9400000      -17538.168       1024.4364
sn1994I-19940404-uohp-z-bl.flm      -4.9400000      -15732.034       1216.4128
sn1994I-19940405-z-bl.flm      -3.9400000      -13471.339       1206.4290
sn1994I-19940406-final-z-bl.flm      -2.9400000      -13850.253       1072.6672
sn1994I-19940406-z-bl.flm      -2.9400000      -14061.346       1546.7771
sn1994I-19940407-z-bl.flm      -1.9400000      -13320.043       911.49615
sn1994I-19940408-z-bl.flm     -0.94000000      -11555.866       949.40546
sn1994I-19940410-z-bl.flm       1.0600000      -10330.437       667.06592
sn1994I-19940411-mmt-z-bl.flm       2.0600000      -9750.6641       1931.2742
sn1994I-19940411-z-bl.flm       2.0600000      -9875.8291       661.88000
sn1994I-19940412-final-z-bl.flm       3.0600000      -10150.082       436.49246
sn1994I-19940412-z-bl.flm       3.0600000      -10091.746       452.39206
sn1994I-19940415-final-z-bl.flm       6.0600000      -8754.8535       574.34863
sn1994I-19940416-final-z-bl.flm       7.0600000      -8665.8604       621.76776
sn1994I-19940420-final-z-bl.flm       11.060000      -8968.7197       333.15338
sn1994I-19940430-z-bl.flm       21.060000      -8304.5527       816.10645
sn1994I-19940501-z-bl.flm       22.060000      -8489.3223       632.13721
sn1994I-19940502-z-bl.flm       23.060000      -8161.6772       731.64984
sn1994I-19940503-z-bl.flm       24.060000      -7918.2676       668.67981
sn1994I-19940504-final-z-bl.flm       25.060000      -8173.5352       361.77832
sn1994I-19940505-z-bl.flm       26.060000      -8198.5664       806.35889
sn1994I-19940507-z-bl.flm       28.060000      -7424.0259       1192.7408
sn1994I-19940509-z-bl.flm       30.060000      -8297.1641       644.37708
sn1994I-19940511-final-z-bl.flm       32.060000      -7930.7373       369.93555
sn1994I-19940512-final-z-bl.flm       33.060000      -7964.8813       323.43088
sn1994I-19940513-final-z-bl.flm       34.060000      -7994.5396       275.21564
sn1994I-19940513-z-bl.flm       34.060000      -7782.7217       764.21710
sn1994I-19940515-z-bl.flm       36.060000      -8100.1948       1256.9413
sn1994I-19940516-z-bl.flm       37.060000      -6787.0029       602.75940
sn1994I-19940517-z-bl.flm       38.060000      -8441.1797       1214.5365
sn1994I-19940519-z-bl.flm       40.060000      -6171.0098       1327.2518
sn1994I-19940603-final-z-bl.flm       55.060000      -7266.5889       351.89426
sn1994I-19940604-z-bl.flm       56.060000      -7516.6475       546.75488
sn1994I-19940616-final-z-bl.flm       68.060000      -6932.4434       342.30649
sn1994I-19940714-final-z-bl.flm       96.060000      -6860.7139       379.12128
