sn2000H-20000209-z.flm      -2.0000000      -10796.439       873.63135
sn2000H-20000210-z.flm      -1.0000000      -10463.479       697.86066
sn2000H-20000212-z.flm       1.0000000      -9753.6465       577.01685
sn2000H-20000213-z.flm       2.0000000      -9199.8711       706.27539
sn2000H-20000214-z.flm       3.0000000      -8780.1904       651.98090
sn2000H_IIb_13.4_z.dat       5.0000000      -8044.7891       773.91119
sn2000H-20000226-z.flm       15.000000      -5523.9429       3798.5835
sn2000H-20000228-z.flm       17.000000      -5098.0635       1206.9510
sn2000H_IIb_29.2_z.dat       20.800000      -4829.5073       586.34906
sn2000H_IIb_40_z.dat       31.400000      -3884.9614       532.09558
sn2000H_IIb_55.8_z.dat       47.400000      -3921.3533       642.73639
sn2000H_IIb_65.2_z.dat       56.800000      -3582.6377       748.21771
