#SN name	Fe-err   Fe	Fe+err	Si-err	Si Si+err
SN1998bw 7.020 7.457 8.775 4.350 4.450 7.143
SN2002ap 4.908 5.607 5.922 1.315 1.369 1.592
SN2003jd 6.959 7.066 8.080 3.720 3.959 7.166
SN2003lw 6.328 6.941 7.753 0.991 1.994 6.448
SN2006aj 12.571 12.780 13.279 8.580 9.413 9.588
SN2007ru 9.547 9.851 10.206 4.668 4.901 7.926
SN2009bb 10.671 10.796 11.250 7.480 7.914 8.128
sn2010bh 27.240 36.478 45.638 2.895 13.419 55.470
SN2012bz 13.958 14.357 14.679 5.106 5.712 7.999
SN2013cq 18.122 19.875 20.004 8.347 24.043 59.785
PTF10bzf 13.178 13.869 13.893 5.805 6.114 6.432
PTF10qts 11.525 11.779 12.476 4.570 4.791 7.949
#
#SN name	Si_shift (km/s)	Si_new (km/s)	Si_err Fe_shift (km/s)	Fe_new (km/s) Fe_err
#sn1998bw	5563	13197	2178.12     7738	14983 0 
#sn2002ap	2674	10236	1660        5450	12642 2881.28 
#sn2003jd	2709	10272	1647.31     7983	15234 2000
#sn2003lw	2769	10333	1660        7634	14877 2000
#sn2006aj	5254	12880	1660        10106	17407 2000
#sn2007ru	2799	10364	1668.99     10654	17968 2000
#sn2009bb	7083	14755	1660        8551	15816 2226.26
#sn2010bh	14026	21871	1660        29879	37646 2000
#sn2012bz	6443	14099	1660        13384	20762 2000
#sn2013cq	3019	10589	1660        20310	27852 2000 
#PTF10bzf	6410	13624	1660        14119	21515 2000
#PTF10qts	4131	11729	1660        11243	18571 2000
